Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Acorde: Dulce (product.metafields.custom.acorde_dulce),c_f.product_card_marquee (product.metafields.custom.c_f_product_card_marquee),Género (product.metafields.custom.genero),Notas de salida (product.metafields.custom.notas_de_salida),Tamaño (product.metafields.custom.tamano),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Número de calificaciones del producto (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Ocasión (product.metafields.shopify.occasion),Aroma (product.metafields.shopify.scent),Estación (product.metafields.shopify.season),Sexo objetivo (product.metafields.shopify.target-gender),Productos complementarios (product.metafields.shopify--discovery--product_recommendation.complementary_products),Productos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products),Configuración de productos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products_display),Impulsos de productos en la búsqueda (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
kenzie-candid-vanilla-volare-edp-gourmand-vainilla-candida-100ml,Kenzie Candid Vanilla Volare | EDP Gourmand Vainilla Cándida | 100ml,"<h2>Kenzie Candid Vanilla: Vainilla Cándida Gourmand</h2><p><strong>Kenzie Candid Vanilla de Volare</strong> es una fragancia gourmand que representa la vainilla cándida. Una composición dulce y pura que combina vainilla con notas dulces y flores, creando un perfume gourmand y delicado.</p><h3>Notas Olfativas</h3><p><strong>Notas de Salida:</strong> Bergamota, frutas dulces y flores blancas que aportan una apertura frutal, floral y dulce cándida</p><p><strong>Notas de Corazón:</strong> Vainilla, flores blancas, caramelo y especias que crean un corazón gourmand-floral dulce y delicado</p><p><strong>Notas de Fondo:</strong> Almizcle, ámbar, vainilla y maderas suaves que proporcionan una base cálida, dulce y duradera</p><h3>Características</h3><p>Esta fragancia ofrece una buena longevidad de 6-8 horas con una proyección moderada. Su carácter gourmand-floral la hace perfecta para todas las estaciones, ideal para ocasiones casuales y eventos románticos.</p><h3>Perfecto Para</h3><p>Kenzie Candid Vanilla es ideal para quienes aprecian las fragancias gourmand de vainilla dulces y delicadas. Su vainilla cándida la hace perfecta para destacar con dulzura y pureza.</p>",Volare,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Eau de Parfum,"100ml, Gourmand, Perfumes arabes, Unisex, Vainilla, Volare",true,Tamaño,100 ml,,,,,,,,,350.0,shopify,10,deny,manual,29.00,,true,true,100.0,ml,1,ml,'6297001571576,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/MJBAZAR-EaudeParfumKENZIECandidVanilla100ml_product_-Volare.png?v=1770405671,1,"",false,Kenzie Candid Vanilla Volare 100ml | Perfume Gourmand Vainilla Cándida,"Kenzie Candid Vanilla de Volare: EDP gourmand de 100ml. Notas de vainilla, flores blancas y ámbar. Vainilla cándida. Compra en Nur Aromas.",479,,,,,,,,,,,,,,,,,,,informal; ocasion-especial,,otono; primavera; verano; invierno,,,,,,,kg,,,active
kenzie-candid-vanilla-volare-edp-gourmand-vainilla-candida-100ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/candid-vanilla.webp?v=1770405226,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kenzie-vanilla-70-volare-edp-gourmand-vainilla-70-100ml,Kenzie Vanilla 70 Volare | EDP Gourmand Vainilla 70 | 100ml,"<h2>Kenzie Vanilla 70: Vainilla 70 Gourmand</h2><p><strong>Kenzie Vanilla 70 de Volare</strong> es una fragancia gourmand que representa la vainilla 70. Una composición dulce y seductora que combina vainilla con notas dulces y especias, creando un perfume gourmand y cautivador.</p><h3>Notas Olfativas</h3><p><strong>Notas de Salida:</strong> Bergamota, frutas dulces y especias que aportan una apertura frutal, cítrica y dulce gourmand</p><p><strong>Notas de Corazón:</strong> Vainilla, caramelo, tonka y especias que crean un corazón gourmand-vainilla dulce y seductor</p><p><strong>Notas de Fondo:</strong> Almizcle, ámbar, vainilla y maderas suaves que proporcionan una base cálida, dulce y duradera</p><h3>Características</h3><p>Esta fragancia ofrece una buena longevidad de 6-8 horas con una proyección moderada. Su carácter gourmand-vainilla la hace perfecta para todas las estaciones, ideal para ocasiones casuales y eventos festivos.</p><h3>Perfecto Para</h3><p>Kenzie Vanilla 70 es ideal para quienes aprecian las fragancias gourmand de vainilla dulces y seductoras. Su vainilla 70 la hace perfecta para destacar con dulzura y sensualidad.</p>",Volare,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Eau de Parfum,"100ml, Gourmand, Perfumes arabes, Unisex, Vainilla, Volare",true,Tamaño,100 ml,,,,,,,,,350.0,shopify,10,deny,manual,29.00,,true,true,100.0,ml,1,ml,'6297001571569,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/Kenzie-Vanilla-70.jpg?v=1770404652,1,"",false,Kenzie Vanilla 70 Volare 100ml | Perfume Gourmand Vainilla 70,"Kenzie Vanilla 70 de Volare: EDP gourmand de 100ml. Notas de vainilla, caramelo y ámbar. Vainilla 70. Compra en Nur Aromas.",479,,,,,,,,,,,,,,,,,,,informal; ocasion-especial,,otono; primavera; verano; invierno,,,,,,,kg,,,active
kenzie-vanilla-70-volare-edp-gourmand-vainilla-70-100ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/41byPb3xHnL._AC_SX679.jpg?v=1770404713,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kenzie-classic-pistachio-volare-edp-gourmand-pistacho-clasico-100ml,Kenzie Classic Pistachio Volare | EDP Gourmand Pistacho Clásico | 100ml,"<h2>Kenzie Classic Pistachio: Pistacho Clásico Gourmand</h2><p><strong>Kenzie Classic Pistachio de Volare</strong> es una fragancia gourmand que representa el pistacho clásico. Una composición dulce y deliciosa que combina pistacho con notas dulces y especias, creando un perfume gourmand y cautivador.</p><h3>Notas Olfativas</h3><p><strong>Notas de Salida:</strong> Bergamota, almendra, pistacho y frutas dulces que aportan una apertura frutal, dulce y gourmand deliciosa</p><p><strong>Notas de Corazón:</strong> Pistacho, caramelo, vainilla y especias que crean un corazón gourmand-dulce cremoso y seductor</p><p><strong>Notas de Fondo:</strong> Almizcle, ámbar, tonka y maderas suaves que proporcionan una base cálida, dulce y duradera</p><h3>Características</h3><p>Esta fragancia ofrece una buena longevidad de 6-8 horas con una proyección moderada. Su carácter gourmand-dulce la hace perfecta para todas las estaciones, ideal para ocasiones casuales y eventos festivos.</p><h3>Perfecto Para</h3><p>Kenzie Classic Pistachio es ideal para quienes aprecian las fragancias gourmand dulces y deliciosas. Su pistacho clásico la hace perfecta para destacar con dulzura y originalidad.</p>",Volare,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Eau de Parfum,"100ml, Dulce, Gourmand, Perfumes arabes, Unisex, Volare",true,Tamaño,100 ml,,,,,,,,,350.0,shopify,10,deny,manual,29.00,,true,true,100.0,ml,1,ml,'6297001571552,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/529032_500.webp?v=1770387562,1,"",false,Kenzie Classic Pistachio Volare 100ml | Perfume Gourmand Pistacho,"Kenzie Classic Pistachio de Volare: EDP gourmand de 100ml. Notas de pistacho, caramelo y vainilla. Pistacho clásico. Compra en Nur Aromas.",479,,,,,,,,,,,,,,,,,,,informal; ocasion-especial,,otono; primavera; verano; invierno,,,,,,,kg,,,active
kenzie-classic-pistachio-volare-edp-gourmand-pistacho-clasico-100ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/300-ppqwypsmwe.png?v=1770387619,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esta-oro-volare-edp-oriental-amaderado-dorado-100ml,Esta Oro Volare | EDP Oriental Amaderado Dorado | 100ml,"<h2>Esta Oro: Oro Oriental</h2><p><strong>Esta Oro de Volare</strong> es una fragancia oriental amaderada que representa el oro. Una composición lujosa y sofisticada que combina maderas nobles con especias orientales y notas dulces, creando un perfume dorado y distinguido.</p><h3>Notas Olfativas</h3><p><strong>Notas de Salida:</strong> Bergamota, azafrán, cardamomo y especias que aportan una apertura cítrica, especiada y dorada lujosa</p><p><strong>Notas de Corazón:</strong> Cedro, pachulí, oud y especias orientales que crean un corazón amaderado-oriental sofisticado y lujoso</p><p><strong>Notas de Fondo:</strong> Almizcle, ámbar, vainilla y maderas preciosas que proporcionan una base cálida, dulce y duradera</p><h3>Características</h3><p>Esta fragancia ofrece una buena longevidad de 6-8 horas con una proyección moderada-fuerte. Su carácter oriental-amaderado la hace perfecta para todas las estaciones, ideal para ocasiones especiales y eventos elegantes.</p><h3>Perfecto Para</h3><p>Esta Oro es ideal para quienes aprecian las fragancias orientales amaderadas lujosas y doradas. Su oro oriental la hace perfecta para destacar con elegancia y distinción.</p>",Volare,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Eau de Parfum,"100ml, Amaderado, Oriental, Perfumes arabes, Unisex, Volare",true,Tamaño,100 ml,,,,,,,,,350.0,shopify,10,deny,manual,29.00,,true,true,100.0,ml,1,ml,'6297001571545,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/490107_500.webp?v=1770386666,1,"",false,Esta Oro Volare 100ml | Perfume Oriental Amaderado Dorado,"Esta Oro de Volare: EDP oriental amaderado de 100ml. Notas de oud, azafrán y vainilla. Oro oriental. Compra en Nur Aromas.",479,,,,,,,,,,,,,,,,,,,ocasion-especial,,otono; primavera; verano; invierno,,,,,,,kg,,,active
esta-oro-volare-edp-oriental-amaderado-dorado-100ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/estaoro1.jpg?v=1770386682,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esta-puro-volare-edp-aromatico-fresco-puro-100ml,Esta Puro Volare | EDP Aromático Fresco Puro | 100ml,"<h2>Esta Puro: Pureza Aromática</h2><p><strong>Esta Puro de Volare</strong> es una fragancia aromática fresca que representa la pureza. Una composición limpia y refrescante que combina notas aromáticas con cítricos y maderas, creando un perfume puro y elegante.</p><h3>Notas Olfativas</h3><p><strong>Notas de Salida:</strong> Bergamota, limón, menta y notas frescas que aportan una apertura cítrica, aromática y fresca pura</p><p><strong>Notas de Corazón:</strong> Lavanda, geranio, salvia y notas aromáticas que crean un corazón aromático-fresco limpio y refrescante</p><p><strong>Notas de Fondo:</strong> Almizcle, ámbar, cedro y maderas que proporcionan una base cálida, suave y duradera</p><h3>Características</h3><p>Esta fragancia ofrece una buena longevidad de 6-8 horas con una proyección moderada. Su carácter aromático-fresco la hace perfecta para todas las estaciones, ideal para el día a día y ocasiones deportivas.</p><h3>Perfecto Para</h3><p>Esta Puro es ideal para quienes aprecian las fragancias aromáticas frescas limpias y puras. Su pureza aromática la hace perfecta para destacar con frescura y vitalidad.</p>",Volare,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Eau de Parfum,"100ml, Aromático, Fresco, Perfumes arabes, Unisex, Volare",true,Tamaño,100 ml,,,,,,,,,350.0,shopify,10,deny,manual,29.00,,true,true,100.0,ml,1,ml,'6297001571538,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/o.113850.jpg?v=1770386219,1,"",false,Esta Puro Volare 100ml | Perfume Aromático Fresco Puro,"Esta Puro de Volare: EDP aromático fresco de 100ml. Notas de bergamota, lavanda y cedro. Pureza aromática. Compra en Nur Aromas.",479,,,,,,,,,,,,,,,,,,,diario; informal,,otono; primavera; verano; invierno,,,,,,,kg,,,active
esta-puro-volare-edp-aromatico-fresco-puro-100ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/volare-esta-puro.png?v=1770386258,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
